,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
7/21/2023,Grace ,490434,36,12/12/2012,3873,129.10,Canine,PMI,115,PMI,115,N,0.08,0.03,14.74,1.54,n/a,0.36,0,250,4.17,5.39
7/26/2023,Liberty,486974,8.18,11/10/2022,258,8.60,Canine,BPV,80,BPV,80,N,0.59,0.08,13.26,2.74,n/a,2.69,0.48,857,14.28,7.09
7/28/2023,Wednesday ,490384,27.7,6/28/2017,2221,74.03,Canine ,PMI,94,PMI,94,N,0.82,0.02,17.72,6.4,n/a,0.48,0.48,200,3.33,5.38
7/31/2023,Grace ,490434,38.5,12/12/2012,3883,129.43,Canine,PMI,127,PMI,127,N,10.24,0.57,8.8,n/a,n/a,0.05,0,157,2.62,5.03
8/2/2023,Tank,489130,5.54,2/7/2023,176,5.87,Canine,BPV,70,BPV,70,N,1.72,0,8.32,1.33,n/a,0.34,19.87,426,7.10,1.86
8/3/2023,Sadie ,268158,30,10/9/2016,2489,82.97,Canine,BPV,60,BPV,60,N,8.8,0.05,20.33,2.97,n/a,3.53,NB,423,7.05,15.26
8/9/2023,Phinias,484852,15.4,12/23/2022,229,7.63,Canine,PV stent,75,PV stent,75,N,0.71,0.1,41.17,5.43,n/a,1.39,102.63,"1,069.00",17.82,14.44
8/10/2023,Lily ,488418,6.5,6/20/2022,416,13.87,Canine,BPV,71,BPV,71,N,0.72,0.03,12.51,3.1,n/a,0.12,NB,"1,402.00",23.37,6.15
8/16/2023,Zoey,485494,29,6/5/2022,437,14.57,Canine,BPV,40,BPV,40,N,1.92,0.02,4.52,0.51,n/a,0.1,NB,501,8.35,6.24
8/16/2023,Gus ,491488,7.45,3/16/2022,518,17.27,Canine,PDA,35,PDA,35,N,1.69,0,5.79,0.61,0.12,0.9,NB,296,4.93,2.02
8/17/2023,Miss Olive,489755,5.2,4/5/2023,134,4.47,Canine,BPV,55,BPV,55,N,1.46,0.05,6.27,0.64,n/a,0.54,204.57,838,13.97,2.62
8/30/2023,Luna,486500,21.2,12/1/2021,637,21.23,Canine,BPV,43,BPV,43,N,5.12,0,7.07,8.03,n/a,0.22,158.21,708,11.80,11.82
9/6/2023,Sofie,489496,10.3,3/14/2019,1637,54.57,Canine,BPV,60,BPV,60,N,7.96,0.03,40.65,1.75,n/a,1.92,3.27,"1,118.00",18.63,6.94
9/6/2023,Champ,491419,21.4,3/24/2019,1627,54.23,Canine,BPV,55,BPV,55,N,2.84,0.02,34.33,10.08,n/a,2.3,66.18,811,13.52,9.76
9/8/2023,Russell,492424,28,7/29/2010,4789,159.63,Canine,PMI,120,PMI,120,N,0.74,0.05,2.95,n/a,n/a,0.82,2.97,188,3.13,2.75
